id	caseid	fid	pos0	pos1	owner	date	memo	ctid	cid	fid	seltext	pos0	pos1	owner	date	memo	avid	important	cid	name	memo	catid	owner	date	color
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		1	13	1	(91)   This was not easy because there are a lot of several shifts so you see (92)   different people but also new colleagues because there is a lot of (93)   stuff changing. So they very often had to introduce themselves again.	5667	5895	Vinayak	2024-07-31 07:49:33				13	13 Turnover		1	Vinayak	2024-07-30 17:59:18	#F781F3
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		2	11	1	The first job for them was to recruit the healthcare (96)   worker for the communication lessons and presence. In the beginning it (97)   was really hard because even though it was working time for them, no (98)   leisure time, they were not very interested.	5990	6248	Vinayak	2024-07-31 07:49:55				11	11 Difficulties recruiting co-creators		1	Vinayak	2024-07-30 17:59:18	#F6CECE
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		3	7	1	So I think it was about 10 or 12 lessons, they had to interrupt, (102)   I think for two or three months during the first COVID wave and we (103)   finished it because they had to be in presence because it were group (104)   meetings and you cannot really do it on a screen if you need the (105)   interaction between other different occupations.	6439	6785	Vinayak	2024-07-31 07:50:23				7	07 Limited exchange		1	Vinayak	2024-07-30 17:59:18	#F7819F
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		4	13	1	(116)   [collaborator | Label: A5]: But they did not like the questionnaires. They (117)   were too long. So the dropout rate is quite high, especially for the (118)   second questionnaire.	7286	7475	Vinayak	2024-07-31 07:50:56				13	13 Turnover		1	Vinayak	2024-07-30 17:59:18	#F781F3
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		5	6	1	(124)   [collaborator | Label: A5]: Yes, I think that problem was that it was not (125)   participative.	7717	7821	Vinayak	2024-07-31 07:51:15				6	06 Poor planning of collaboration		1	Vinayak	2024-07-30 17:59:18	#FA5858
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		6	6	1	So it would have been much better to test the (126)   questionnaires for some of the healthcare workers because there were (127)   two problems. One was they were quite too long. And with a lot of (128)   validated instruments; but too many. So if you have three or four (129)   validated instruments, they are mixed up and they are too long. Some of (130)   the questions were quite not comprehensible for the participants. They (131)   did not really understand what is meant with it. I think some stopped (132)   and others took quite a lot of time.	7822	8374	Vinayak	2024-07-31 07:52:13				6	06 Poor planning of collaboration		1	Vinayak	2024-07-30 17:59:18	#FA5858
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		7	6	1	"and these two questions we do not know what is meant by it."" So (136)   it would have been much better to test questionnaires and get to make (137)   them shorter and to decide which of the validated instruments are the (138)   most important ones."	8576	8824	Vinayak	2024-07-31 07:52:54				6	06 Poor planning of collaboration		1	Vinayak	2024-07-30 17:59:18	#FA5858
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		8	6	1	(258)   [collaborator | Label: A5]: Yes, to be honest it was not co-created. I'm sure (259)   you will get the same answers from [collaborator | Label: A7] and [collaborator | Label: A6].	15831	16018	Vinayak	2024-07-31 07:53:38				6	06 Poor planning of collaboration		1	Vinayak	2024-07-30 17:59:18	#FA5858
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		9	6	1	(263)   [collaborator | Label: A5]: So because the content of communication lessons (264)   were set by the midwife and the doctor of the company. We co-created (265)   the contents, but they produced the examples and the approach towards (266)   the healthcare workers. Our idea was because it worked very well in the (267)   lessons, that we use the same contents in the app. We thought about the (268)   examples and they had a lot of theory.	16110	16555	Vinayak	2024-07-31 07:53:58				6	06 Poor planning of collaboration		1	Vinayak	2024-07-30 17:59:18	#FA5858
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		10	7	1	I think it was one or two days I (269)   spent, with [organisation | Label: AU] colleagues, unfortunately on the screen. We had (270)   planned a meeting in [german_city | replacement: city_29] and I was so much looking to stay there, (271)   [participant_requested_redaction] [collaborator | Label: A4] planned to pick me up in the morning but then (272)   the first wave of COVID started and it was not possible.	16556	16970	Vinayak	2024-07-31 07:55:51				7	07 Limited exchange		1	Vinayak	2024-07-30 17:59:18	#F7819F
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		11	6	1	We thought (273)   about how to transform the contents of interactive lessons into face to (274)   face lessons. No not face to face but you face the app, you are on your (275)   own. We discussed this but only in the study group and then we sent our (276)   draft to the company who conducted the lessons and they had some (277)   corrections, but more in the way that they are the experts in birthing. (278)   So maybe examples did not suit or so, but they did not address or (279)   correct the method.	16971	17476	Vinayak	2024-07-31 07:55:58				6	06 Poor planning of collaboration		1	Vinayak	2024-07-30 17:59:18	#FA5858
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		12	6	1	(286)   [collaborator | Label: A5]: Yes.	17834	17874	Vinayak	2024-07-31 07:56:14				6	06 Poor planning of collaboration		1	Vinayak	2024-07-30 17:59:18	#FA5858
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		13	9	1	One (303)   restriction was, and still is the budget.	18824	18877	Vinayak	2024-07-31 07:56:34				9	09 Resource constraints		1	Vinayak	2024-07-30 17:59:18	#9EB5D9
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		14	9	1	They hadn't had the budget (304)   for gamification for changing.	18878	18943	Vinayak	2024-07-31 07:56:43				9	09 Resource constraints		1	Vinayak	2024-07-30 17:59:18	#9EB5D9
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		15	9	1	So there was a limit just from the (305)   beginning, and we were quite lucky that they found a company who worked (306)   on the app because I think we had some offers with about 300,000 euros (307)   or so.	18944	19152	Vinayak	2024-07-31 07:56:55				9	09 Resource constraints		1	Vinayak	2024-07-30 17:59:18	#9EB5D9
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		16	1	1	Because quite often the idea in the (332)   beginning is very big, and then you go into the field. And then it's a (333)   bit tricky.	20671	20805	Vinayak	2024-07-31 07:57:17				1	01 Broad scope		1	Vinayak	2024-07-30 17:59:18	#FFA866
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		17	1	1	So if you see the [digital_intervention | Case: A], in the beginning, I think we (334)   had 10 or 11 lessons, I wrote one, on the four sides [of (335)   communication]. In the end I think that the data you can work with will (336)   be, I don't know, four or six lessons or so. If we would have been able (337)   to imagine these results, we would have started the app in a quite (338)   better way. It would be a much better fit.	20806	21237	Vinayak	2024-07-31 07:57:30				1	01 Broad scope		1	Vinayak	2024-07-30 17:59:18	#FFA866
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		29	11	1	[collaborator | Label: A7] and [collaborator | Label: A6] are the hands on (66)   women. They had to do the really hard work because it was not all (67)   that's comfortable to them to ask for participation	3948	4154	Vinayak	2024-07-31 08:12:07				11	11 Difficulties recruiting co-creators		1	Vinayak	2024-07-30 17:59:18	#F6CECE
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		30	11	1	"and the healthcare (68)   workers are always so busy and I think, ""Who are these people?"" What (69)   else I am pressed to do and I don't want to answer. It was successful (70)   in the end but it was not easy going."	4155	4371	Vinayak	2024-07-31 08:12:35				11	11 Difficulties recruiting co-creators		1	Vinayak	2024-07-30 17:59:18	#F6CECE
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		31	7	1	(94)   They had been on a quite good way then Corona started and this was (95)   really hard.	5896	5989	Vinayak	2024-07-31 08:13:41				7	07 Limited exchange		1	Vinayak	2024-07-30 17:59:18	#F7819F
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		32	17	1	"When I conducted the qualitative (133)   interviews, one nurse asked me for help because she said, ""I was there (134)   with my colleague and it took us one and a half hour in their free (135)   time,"	8375	8575	Vinayak	2024-07-31 08:15:34				17	18 Skills or knowledge gap		1	Vinayak	2024-07-30 17:59:18	#BE81F7
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		33	9	1	(143)   [collaborator | Label: A5]: We were in a hurry	8967	9021	Vinayak	2024-07-31 08:16:06				9	09 Resource constraints		1	Vinayak	2024-07-30 17:59:18	#9EB5D9
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		34	6	1	and also I think it's often (144)   the side of the researchers that you do not think enough about the (145)   perspective of the interviewees. So better one question more than too (146)   little, and this in that case was really not good.	9022	9261	Vinayak	2024-07-31 08:17:09				6	06 Poor planning of collaboration		1	Vinayak	2024-07-30 17:59:18	#FA5858
