id	caseid	fid	pos0	pos1	owner	date	memo	ctid	cid	fid	seltext	pos0	pos1	owner	date	memo	avid	important	cid	name	memo	catid	owner	date	color
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		413	42	1	(46)   My responsibility was for the clinics, for two colleagues; [collaborator | Label: A6] (47)   and [collaborator | Label: A7] who worked at the clinics for three years. They finished last (48)   week on the [deemed_disclosive] because both of them also were paid by (49)   [organisation | Label: AA]. Their job was to recruit the participants; the mothers (50)   as well as the professionals and also make the clinics familiar with (51)   the goals of the study. I was in charge of them and this is a bit a (52)   mixture. [collaborator | Label: A1] and also [collaborator | Label: A2], they are responsible for the final (53)   results. So we worked together quite good and it was good atmosphere (54)   mostly.	2493	3210	Vinayak	2024-08-01 11:18:59				42	21 Trust and dependability		2	Vinayak	2024-07-30 17:59:18	#81BEF7
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		414	26	1	(75)   [collaborator | Label: A5]: They had to explain in the beginning and to (76)   convince them of the sense of the study and of the benefits for the (77)   clinic.	4536	4704	Vinayak	2024-08-01 11:20:09				26	05 Orientation		2	Vinayak	2024-07-30 17:59:18	#C8C8C8
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		415	24	1	(86)   [collaborator | Label: A5]: In the beginning before COVID, they participated (87)   in their meetings. They asked for permission to attend the meetings and (88)   then in the end tell us something about [digital_intervention | Case: A].	5256	5499	Vinayak	2024-08-01 11:20:31				24	03 Co-creator exchanges		2	Vinayak	2024-07-30 17:59:18	#E5AE9D
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		416	24	1	They also tried to (89)   spend the breaks with them, just to be with them so that they got (90)   comfortable with them so they belong in one way also to the clinic.	5500	5666	Vinayak	2024-08-01 11:20:59				24	03 Co-creator exchanges		2	Vinayak	2024-07-30 17:59:18	#E5AE9D
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		417	44	1	After the first two or (99)   three communication lessons the participants were convinced and told (100)   the colleagues that makes sense for us, we learned something. It was (101)   good.	6249	6438	Vinayak	2024-08-01 11:21:30				44	23 Prototype or demo		2	Vinayak	2024-07-30 17:59:18	#5E9179
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		418	46	1	(112)   [collaborator | Label: A5]: Yes.	7134	7174	Vinayak	2024-08-01 11:21:45				46	25 FO		2	Vinayak	2024-07-30 17:59:18	#B07CE1
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		419	24	1	but I conducted several (376)   interviews with the three groups of healthcare workers. I was not only (377)   there for the interview but we also had a lot of talk. So I developed a (378)   better feeling for the circumstances they are working in. I also tried (379)   to come for [collaborator | Label: A7] and [collaborator | Label: A6] to support them emotionally also.	23421	23794	Vinayak	2024-08-01 11:22:37				24	03 Co-creator exchanges		2	Vinayak	2024-07-30 17:59:18	#E5AE9D
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		420	38	1	So that's what I do, for example, in my interviews. I have (532)   a participant that I try to have a trust atmosphere that also includes (533)   that if I come to certain points there, I think they don't want to talk (534)   about it or it's very sensitive that then I stop for example or (535)   sometimes. If the other person revealed something very private, then I (536)   used to go further and maybe later come back to that issue. 	32547	32984	Vinayak	2024-08-01 11:23:08				38	17 Facilitation strategies		2	Vinayak	2024-07-30 17:59:18	#80FF00
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		421	31	1	(545)   [collaborator | Label: A5]: We went through some examples of the contents and (546)   we changed it and we reassured some medical examples.	33434	33581	Vinayak	2024-08-01 11:25:03				31	10 Apadative process		2	Vinayak	2024-07-30 17:59:18	#00FF7F
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		422	29	1	The company who (547)   runs the trainings, they are also no co-creators, they are (548)   professionals, they are experts.	33582	33705	Vinayak	2024-08-01 11:25:16				29	08 Leverage strengths		2	Vinayak	2024-07-30 17:59:18	#D37676
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		423	31	1	I think we are now flexible. As [collaborator | Label: A1] (549)   said if the participants don't finish the app, then we work with (550)   results, I don't know lesson four or six. Also what you are doing now (551)   is translating into easy English. That's the example but it's not part (552)   of my work, it's yours.	33706	34026	Vinayak	2024-08-01 11:25:27				31	10 Apadative process		2	Vinayak	2024-07-30 17:59:18	#00FF7F
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		424	35	1	In (645)   [digital_intervention | Case: A] it was okay because the healthcare workers were [incentivised] (646)   just to improve their own communication skills. I think it was (647)   different because we offer the communication classes and they benefited (648)   from it. So we had something to offer. So that's a more positive (649)   example. I think it's different in what you found in the literature.	39939	40346	Vinayak	2024-08-01 11:26:46				35	14 Acknowledging co-creators		2	Vinayak	2024-07-30 17:59:18	#CEF6CE
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		860	24	1	but I conducted several (376)   interviews with the three groups of healthcare workers. I was not only (377)   there for the interview but we also had a lot of talk. So I developed a (378)   better feeling for the circumstances they are working in. I also tried (379)   to come for [collaborator | Label: A7] and [collaborator | Label: A6] to support them emotionally also.	23421	23794	Nehal	2024-08-02 14:57:53				24	03 Co-creator exchanges		2	Vinayak	2024-07-30 17:59:18	#E5AE9D
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		861	38	1	So that's what I do, for example, in my interviews. I have (532)   a participant that I try to have a trust atmosphere that also includes (533)   that if I come to certain points there, I think they don't want to talk (534)   about it or it's very sensitive that then I stop for example or (535)   sometimes. If the other person revealed something very private, then I (536)   used to go further and maybe later come back to that issue.	32547	32983	Nehal	2024-08-02 14:58:11				38	17 Facilitation strategies		2	Vinayak	2024-07-30 17:59:18	#80FF00
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		862	31	1	(545)   [collaborator | Label: A5]: We went through some examples of the contents and (546)   we changed it and we reassured some medical examples. The company who (547)   runs the trainings, they are also no co-creators, they are (548)   professionals, they are experts. I think we are now flexible. As [collaborator | Label: A1] (549)   said if the participants don't finish the app, then we work with (550)   results, I don't know lesson four or six. Also what you are doing now (551)   is translating into easy English. That's the example but it's not part (552)   of my work, it's yours.	33434	34026	Nehal	2024-08-02 14:58:27				31	10 Apadative process		2	Vinayak	2024-07-30 17:59:18	#00FF7F
1	5	1	0	44254	Vinayak	2024-07-30 18:15:27		863	35	1	In (645)   [digital_intervention | Case: A] it was okay because the healthcare workers were [incentivised] (646)   just to improve their own communication skills. I think it was (647)   different because we offer the communication classes and they benefited (648)   from it. So we had something to offer. So that's a more positive (649)   example. I think it's different in what you found in the literature.	39939	40346	Nehal	2024-08-02 14:58:56				35	14 Acknowledging co-creators		2	Vinayak	2024-07-30 17:59:18	#CEF6CE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		425	33	2	That was definitely the idea to involve (67)   people from the different areas and especially to involve people who (68)   were supposed to be the end users, like, for example, when I was at the (69)   [organisation | Label: AO01] for four months, the project team asked me (70)   to go talk to midwives, doctors, and nurses, whoever was there to get (71)   their idea about what an app could actually do and be quite open about (72)   it in the beginning.	4418	4874	Vinayak	2024-08-01 11:28:23				33	12 Needs analysis		2	Vinayak	2024-07-30 17:59:18	#F6CECE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		426	33	2	(74)   [collaborator | Label: A2]: I think later after I left the [organisation | Label: AO01] (75)    to go back to [german_city | replacement: city_29], my colleague who then started up in [organisation | Label: AO01] (76)   also went to the pregnant women and asked whether they had an idea what (77)   this app could do and where we could go. That was quite participatory. (78)   We tried to do a lot of observations.	4891	5312	Vinayak	2024-08-01 11:28:39				33	12 Needs analysis		2	Vinayak	2024-07-30 17:59:18	#F6CECE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		427	33	2	(80)   [collaborator | Label: A2]: I might be a bit too quick here, but we tried to (81)   observe things and we tried to observe different birth situations or, (82)   for example, just normal birth or a difficult one, difficult caesarean (83)   sections. We also just went to the wards for hours at a time to see how (84)   the work is done and how everything works just to get an idea about (85)   where are we actually going with that app, so is it a setting where (86)   people have a lot of time to do extra training? Turns out it wasn't, so (87)   we tried to identify possible applications where we could use the app (88)   and where it could have a positive effect by taking part in the (89)   process.	5329	6039	Vinayak	2024-08-01 11:28:57				33	12 Needs analysis		2	Vinayak	2024-07-30 17:59:18	#F6CECE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		428	29	2	(118)   [collaborator | Label: A2]: Exactly. I think another big part of participatory (119)   research or co-creative is to really identify all possible (120)   stakeholders, so try to have a look beyond normal orders like, for (121)   example, we knew that we were having a German app, but we were also (122)   trying to get people involved who didn't speak German, as well. It's a (123)   very heterogeneous sample of women who give birth, and it's also a very (124)   heterogeneous sample when you look at healthcare workers in obstetrics.	7913	8456	Vinayak	2024-08-01 11:29:31				29	08 Leverage strengths		2	Vinayak	2024-07-30 17:59:18	#D37676
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		429	29	2	(126)   [collaborator | Label: A2]: There are these young midwife students who are quite (127)   good at using apps and then there's like maybe this old physician who's (128)   done this since the eighties and doesn't really get the idea of why we (129)   would have something digitized in obstetrics or so, or there's people (130)   coming from different cultural backgrounds, so I think identifying all (131)   stakeholders is really important and I think that's also this iterative (132)   process where you start thinking, okay, so for example, part of the (133)   caring process is in the delivery room.	8474	9082	Vinayak	2024-08-01 11:30:07				29	08 Leverage strengths		2	Vinayak	2024-07-30 17:59:18	#D37676
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		430	33	2	(152)   [collaborator | Label: A2]: Yes. To be successful in terms of feasible and (153)   applicable to routine care, so if we just identify half the (154)   stakeholders, then maybe worst case scenarios that the app is just (155)   useful for half the participants. I think that was the idea that we (156)   tried to identify not only these highly educated German women who (157)   already knew a lot about communication, but also identify people from (158)   different languages and different backgrounds who might not have had (159)   the chance to talk about communication that much and to also create an (160)   app that kind of fits both needs.	10289	10940	Vinayak	2024-08-01 11:30:28				33	12 Needs analysis		2	Vinayak	2024-07-30 17:59:18	#F6CECE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		431	33	2	(164)   [collaborator | Label: A2]: We're not doing the app for ourselves to do (165)   something and to have like a cool tool, but we're doing the app to (166)   enhance healthcare and to enhance giving birth and enhance patient (167)   safety. It's not about what we want from the app, but what the end (168)   users will require.	11038	11370	Vinayak	2024-08-01 11:30:54				33	12 Needs analysis		2	Vinayak	2024-07-30 17:59:18	#F6CECE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		432	33	2	(175)   [collaborator | Label: A2]: Yes.	11689	11729	Vinayak	2024-08-01 11:31:06				33	12 Needs analysis		2	Vinayak	2024-07-30 17:59:18	#F6CECE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		433	29	2	(253)   [collaborator | Label: A2]: We've talked about that a little bit and then, on (254)   the other hand, we are a research project and we're a health (255)   psychologist, so we understand that communication behavior is not just (256)   coming out of the blue. We understand that there's behavioral (257)   determinants that there are social cognitive variables that influence (258)   communication behavior. I think what we tried was to give this (259)   communication behavior a bit of a new twist and not just say, okay, we (260)   have this interaction, we have this encoding and decoding of (261)   information, but we also have the behavior. We have this non-verbal (262)   communication, we have verbal communication and that's a behavior (263)   that's provided by patients, that's a behavior that's used by (264)   healthcare workers, by the partners, or the patients in most cases, and (265)   so on.	16708	17623	Vinayak	2024-08-01 11:31:36				29	08 Leverage strengths		2	Vinayak	2024-07-30 17:59:18	#D37676
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		434	41	2	267)   [collaborator | Label: A2]: We tried to understand different barriers and (268)   facilitators and we kind of relied quite heavily on the theory for (269)   that. For example, we knew that even if people intend to communicate (270)   well, it might not work out because they haven't really planned their (271)   communication, so one big aspect that we decided quite early on for the (272)   app was, for example, to have some informative lessons where people (273)   learned about how to communicate and then to really see how they could (274)   incorporate that into all their life and also into, for example, the (275)   preparation of giving birth or into their work and there was one (276)   planning intervention that was pretty much directly derived from the (277)   Health Action Process Approach (HAPA), the model.	17642	18472	Vinayak	2024-08-01 11:32:04				41	20 Feasible design		2	Vinayak	2024-07-30 17:59:18	#EB7333
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		435	41	2	(279)   [collaborator | Label: A2]: The same was for self efficacy where we asked, are (280)   you actually satisfied? Do you think those plans are effective? Do you (281)   think you can actually use them, and if not, what would you need to get (282)   there to really be able to use these plans? Well, that's what we do. We (283)   also understood that communication behavior is not just an isolated (284)   behavior, but it works together with different other things enhancing (285)   patient safety.	18490	18993	Vinayak	2024-08-01 11:32:26				41	20 Feasible design		2	Vinayak	2024-07-30 17:59:18	#EB7333
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		436	41	2	(287)   [collaborator | Label: A2]: We also learned from the literature that was less (288)   theoretical, but literature that communication is really heavily (289)   reliant on the safety culture in the hospital. That was something where (290)   we tried to not only look at the individual, although the app was (291)   conceptualized as an individual app, but we also tried to get the idea (292)   behind it that people don't have much time to do an app so they might (293)   not be able. If someone's giving birth, you can't just take out your (294)   phone and see like, by the way, wait a second, I'll just have a look at (295)   the app and how to communicate well. Yes, so that was some principles (296)   that we tried to keep. If I had to summarize them, it was meeting their (297)   needs, being theoretically grounded, but also being feasible.	19011	19865	Vinayak	2024-08-01 11:32:41				41	20 Feasible design		2	Vinayak	2024-07-30 17:59:18	#EB7333
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		437	31	2	(307)   [collaborator | Label: A2]: Maybe another principle that we really incorporated (308)   and that I think worked for us was providing feedback. When we started (309)   developing the app, it was clear that we needed approximately ten (310)   subjects that were part of those lessons and different tasks and so on, (311)   so we started doing one lesson, each person in the team, for example, (312)   and then there was always the next person we gave that to and then (313)   provided feedback, got different ideas, changed that lesson, and then (314)   we would go to the next person.	20429	21020	Vinayak	2024-08-01 11:33:11				31	10 Apadative process		2	Vinayak	2024-07-30 17:59:18	#00FF7F
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		438	31	2	(316)   [collaborator | Label: A2]: Then we would also have a workshop where we (317)   introduced our ideas for the lesson and then, again, got feedback. Yes, (318)   so we had quite the feedback as before, we really gave that to people (319)   who had less time, for example,	21038	21315	Vinayak	2024-08-01 11:33:31				31	10 Apadative process		2	Vinayak	2024-07-30 17:59:18	#00FF7F
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		439	29	2	but they also got involved and we (322)   kind of involved the trainers from the first two phases of [digital_intervention | Case: A], (323)   which included in-person trainings for the healthcare workers and (324)   online trainings for the pregnant women and they also had a look from a (325)   trainer's perspective.	21473	21792	Vinayak	2024-08-01 11:34:30				29	08 Leverage strengths		2	Vinayak	2024-07-30 17:59:18	#D37676
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		440	31	2	I think it was a lot of co-creation, a lot of (326)   feedback in the team than before we started to involve others.	21793	21909	Vinayak	2024-08-01 11:34:38				31	10 Apadative process		2	Vinayak	2024-07-30 17:59:18	#00FF7F
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		441	33	2	(333)   [collaborator | Label: A2]: I think what we did in the beginning was to try and (334)   understand the needs of those end users and then see how we can meet (335)   those needs so that we got into the literature, for example, and found (336)   that if we identified, okay, even though people intend to communicate (337)   well, they are actually having a lot of difficulty doing it because (338)   they don't know how to do it very, very specifically.	22223	22682	Vinayak	2024-08-01 11:35:00				33	12 Needs analysis		2	Vinayak	2024-07-30 17:59:18	#F6CECE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		442	31	2	Then we would see (339)   how that has been improved before in other interventions and did some (340)   literature search on that and took some of these interventions and (341)   incorporated that, and then had the feedback round within the project (342)   team and then the larger project team, including affiliated healthcare (343)   workers, affiliated trainers. Then in the end we had a test run where (344)   we started.	22683	23108	Vinayak	2024-08-01 11:35:21				31	10 Apadative process		2	Vinayak	2024-07-30 17:59:18	#00FF7F
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		443	31	2	(346)   [collaborator | Label: A2]: Also, I think the process isn't done because after (347)   we had this app, we noticed that people started using that quite (348)   frequently. I think we've recruited more than 900 pregnant women to do (349)   it within a year, but people usually started and then stopped after (350)   like one or two lessons. We had workshops to see how this could be and (351)   learned that there's a lot of text in the app. We have a second version (352)   now with less text.	23126	23627	Vinayak	2024-08-01 11:35:35				31	10 Apadative process		2	Vinayak	2024-07-30 17:59:18	#00FF7F
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		444	33	2	(365)   [collaborator | Label: A2]: Yes. For example, workshops with midwifery students, (366)   workshops with different pregnant women and so on. I think the (367)   participatory approach was mostly in the beginning when we started (368)   identifying needs and started identifying what we could do.	24422	24724	Vinayak	2024-08-01 11:35:56				33	12 Needs analysis		2	Vinayak	2024-07-30 17:59:18	#F6CECE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		445	31	2	Then in the (369)   actual development, it was mostly co-creation in the project team based (370)   on what we found in this initial participatory approach and then when (371)   we noticed something's not 100 percent, then we started getting back (372)   and trying to identify what there was and how we could improve by then (373)   involving pregnant women again, and health care workers. I think it's (374)   kind of a wavy process.	24725	25160	Vinayak	2024-08-01 11:36:13				31	10 Apadative process		2	Vinayak	2024-07-30 17:59:18	#00FF7F
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		446	33	2	(380)   [collaborator | Label: A2]: Definitely being physically involved. As I said in (381)   the beginning, this participatory approach was not only to get people (382)   involved in your work, but also getting yourself involved in theirs or (383)   in their needs and wishes. I think that was facilitating that a lot and (384)   just informally speaking to people, what are their greatest needs? What (385)   are their greatest requirements? What are their greatest barriers also (386)   against using apps?	25407	25917	Vinayak	2024-08-01 11:36:36				33	12 Needs analysis		2	Vinayak	2024-07-30 17:59:18	#F6CECE
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		447	24	2	What we tried was to compensate for that in online (399)   meetings. We took like half a day off, really, and just had a workshop (400)   with everyone being involved and then everyone was introducing their (401)   ideas and got feedback. I think just making the time and really (402)   focusing on that task was a huge plus on the end.	26757	27093	Vinayak	2024-08-01 11:37:06				24	03 Co-creator exchanges		2	Vinayak	2024-07-30 17:59:18	#E5AE9D
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		448	44	2	"(413)   [collaborator | Label: A2]: Yes, I think so. It made a difference. Definitely (414)   the expectations that people have shaped their experience with the app (415)   and if someone's expecting something completely different, like, for (416)   example, a checklist on what to do, when and who to approach during (417)   pregnancy, that was not the aim of the app, so those people might be (418)   disappointed about it and we say, hey, this is actually a communication (419)   training and we're trying to enable you to really communicate (420)   effectively during birth. Sometimes people don't really understand why (421)   we do it, but when those people go into the app without having a lot of (422)   expectancies, then usually they like it a lot more because they (423)   understand, ""Oh, this says why we're doing this, and this could be (424)   quite helpful."""	27725	28599	Vinayak	2024-08-01 11:37:41				44	23 Prototype or demo		2	Vinayak	2024-07-30 17:59:18	#5E9179
2	2	2	0	59689	Vinayak	2024-07-30 18:16:03		449	42	2	(444)   [collaborator | Label: A2]: I think the ones that you mentioned are kind of 100 (445)   percent. Building trust and maintaining relationships with coworkers (446)   was, I think, even more important for us	29924	30137	Vinayak	2024-08-01 11:38:02				42	21 Trust and dependability		2	Vinayak	2024-07-30 17:59:18	#81BEF7
